Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-06-22,286.7912292480469,287.1882356545676,283.2181152364282,284.3629814046149,74649400
2020-06-23,288.1116027832031,290.37366646344435,287.70535438204575,289.44113788217754,68471200
2020-06-24,280.76226806640625,286.6897814759057,278.92493642655745,286.0711669477362,132813500
2020-06-25,283.7721862792969,284.0399473243526,278.1678289833196,280.1898292059112,89468000
2020-06-26,277.0321350097656,282.88579689027085,276.45048811590635,282.67343082724625,127961000
2020-06-29,281.1038513183594,281.24233868339707,275.9980771665016,278.2878382488589,79773300
2020-06-30,284.7047119140625,286.4035844678509,280.5130100144226,280.6699529958901,113394800
2020-07-01,286.698974609375,287.96390105074033,285.360225806475,285.8218691543317,72396500
2020-07-02,288.2778015136719,291.4816073233506,287.61303399713563,290.1335885242947,69344200
2020-07-06,292.7279968261719,293.30967187564966,291.35230884827496,292.1001687186121,61713800
2020-07-07,289.7088928222656,293.16197598302176,289.3303419029436,291.1861571430053,82910000
2020-07-08,291.92474365234375,292.03553353353783,288.71172439183437,290.4751769616239,54638600
2020-07-09,290.26287841796875,292.7742193790963,286.8467063436829,292.53415581966215,83354200
2020-07-10,293.22662353515625,293.49438457109676,288.7671611130503,290.19824424631554,57550400
2020-07-13,290.68756103515625,297.95382235069326,290.03203541314804,295.57175522796825,102997500
2020-07-14,294.4546813964844,295.2302390398865,288.0655234153888,289.26578515902713,93657000
2020-07-15,297.1598205566406,298.2585339487308,294.777725167758,297.6768588380392,87196500
2020-07-16,296.18115234375,296.6335538163291,294.61155366216747,295.25786563140133,54622500
2020-07-17,297.039794921875,297.82459424337384,295.21167713283364,297.1875241733961,62774900
2020-07-20,299.4402770996094,300.18813689215324,296.02410586279206,296.7719656553359,56308800
2020-07-21,300.0773620605469,301.8500564070887,299.0894387179133,301.40689690868754,57292200
2020-07-22,301.78546142578125,302.09940368262994,299.6065184526506,299.7173083426101,57792900
2020-07-23,298.1846618652344,302.12711406913473,296.8182155953633,301.42540716743423,75738000
2020-07-24,296.2641906738281,297.28902521270993,294.7592290992445,296.32882749424476,73766600
2020-07-27,298.42474365234375,298.6001703884858,296.16267985039116,296.95672110500396,48293000
2020-07-28,296.5319519042969,298.81247079634437,296.2364934476947,297.6952737904054,57495000
2020-07-29,300.178955078125,300.74217459378013,297.37215573588736,297.4090950917843,48454200
2020-07-30,299.10791015625,299.5234003844888,295.11933357691976,297.2059420708996,61861700
2020-07-31,301.4715270996094,301.5731032762325,296.6796674453573,300.8990939222795,84986800
2020-08-03,303.5674133300781,304.3337288211006,302.58873177456934,303.1334674949773,53077900
2020-08-04,304.7400207519531,304.7400207519531,302.7087786426871,302.7087786426871,41917900
2020-08-05,306.6327819824219,306.89132934963357,305.7741319749666,306.0418930506655,42697700
2020-08-06,308.68243408203125,308.8024658628492,305.72793350897297,306.05108949352723,43679400
2020-08-07,308.90399169921875,309.19020827921787,306.8081131712944,307.71294414525704,57308300
2020-08-10,309.82733154296875,310.0119719811735,307.41753855083357,309.3564462990686,44282100
2020-08-11,307.2698059082031,311.6462040748988,306.5404296941491,311.0091339906926,69601100
2020-08-12,311.55389404296875,312.3294515588477,309.6796230021421,309.7073204785493,53774400
2020-08-13,310.99066162109375,312.3017411953798,310.06737487698325,310.78753741033046,41816100
2020-08-14,310.9998779296875,311.5353999760587,309.87346706744495,310.6028714247222,47260400
2020-08-17,311.98779296875,312.3847994629521,311.0091113811264,312.0154904409857,35481000
2020-08-18,312.66180419921875,313.0865081681524,310.7875052531915,312.38480129876183,38733900
2020-08-19,311.35992431640625,313.557322573065,310.79670488557355,313.04028437426666,68054200
2020-08-20,312.32940673828125,312.8095056526026,309.5041518442734,309.6333973234677,42207800
2020-08-21,313.4374084472656,313.6589882595692,311.65544353506925,311.99708331433936,55106600
2020-08-24,316.6134033203125,316.68725383901455,313.40959819669,315.87475725095965,48588700
2020-08-25,317.72137451171875,317.8044669230327,316.0132886974553,317.17663880879144,38463400
2020-08-26,320.9067077636719,321.1744405717904,317.7675391796588,318.3122748541858,50790200
2020-08-27,321.6084289550781,323.0579957694621,319.94652424244754,321.77464196751936,58034100
2020-08-28,323.6856689453125,323.8149425401482,321.442090204601,322.6331373116843,48588900
2020-08-31,322.5132751464844,324.35060666428654,322.28245347132435,323.4735012045628,66099200
2020-09-01,325.55084228515625,325.6523902806764,322.4485848337792,323.34417391191676,54908700
2020-09-02,330.2596130371094,331.2290526523332,326.31716140186785,327.46205589368293,69540000
2020-09-03,318.89398193359375,329.04089295769626,316.30876246960275,328.57000776099846,148011100
2020-09-04,316.290283203125,321.14675134230083,309.18096542994215,319.5771810982591,139156300
2020-09-08,307.6482849121094,316.3548979684875,307.3436127666007,310.8797876425356,114465300
2020-09-09,313.7235412597656,316.188700542301,310.7874686489755,311.6553602505374,91462300
2020-09-10,308.2762451171875,316.2534284676327,307.3160189497297,315.59790272492,90569500
2020-09-11,308.4331359863281,311.11990351849477,305.6078810919823,310.05812950649084,84680200
2020-09-14,312.49554443359375,314.26826693128163,308.58081864580447,311.5999553914097,65605700
2020-09-15,314.074462890625,315.7825208192452,312.5048641612994,314.95156838815086,52920900
